bag_id,bag_size,method,classifier,mae,pred_pos,true_pos
0,100,CC,LITETime,0.17,0.6,0.77
1,100,CC,LITETime,0.02,0.41,0.43
2,100,CC,LITETime,0.1899999999999999,0.66,0.85
3,100,CC,LITETime,0.1799999999999999,0.51,0.69
4,100,CC,LITETime,0.09,0.18,0.09
5,100,CC,LITETime,0.1999999999999999,0.77,0.97
6,100,CC,LITETime,0.1999999999999999,0.56,0.76
7,100,CC,LITETime,0.21,0.57,0.78
8,100,CC,LITETime,0.04,0.16,0.12
9,100,CC,LITETime,0.03,0.42,0.45
10,100,CC,LITETime,0.0399999999999999,0.41,0.37
11,100,CC,LITETime,0.26,0.66,0.92
12,100,CC,LITETime,0.06,0.58,0.64
13,100,CC,LITETime,0.1799999999999999,0.64,0.82
14,100,CC,LITETime,0.0499999999999999,0.49,0.44
15,100,CC,LITETime,0.03,0.25,0.22
16,100,CC,LITETime,0.1,0.45,0.55
17,100,CC,LITETime,0.07,0.13,0.06
18,100,CC,LITETime,0.1599999999999999,0.66,0.82
19,100,CC,LITETime,0.13,0.5,0.63
20,100,CC,LITETime,0.12,0.63,0.75
21,100,CC,LITETime,0.0899999999999999,0.26,0.35
22,100,CC,LITETime,0.26,0.71,0.97
23,100,CC,LITETime,0.2299999999999999,0.66,0.89
24,100,CC,LITETime,0.13,0.64,0.77
25,100,CC,LITETime,0.0199999999999999,0.17,0.19
26,100,CC,LITETime,0.06,0.4,0.46
27,100,CC,LITETime,0.1399999999999999,0.18,0.04
28,100,CC,LITETime,0.04,0.19,0.15
29,100,CC,LITETime,0.1,0.58,0.68
30,100,CC,LITETime,0.15,0.59,0.74
31,100,CC,LITETime,0.1499999999999999,0.81,0.96
32,100,CC,LITETime,0.0,0.32,0.32
33,100,CC,LITETime,0.0399999999999999,0.33,0.37
34,100,CC,LITETime,0.09,0.37,0.46
35,100,CC,LITETime,0.03,0.21,0.18
36,100,CC,LITETime,0.05,0.17,0.12
37,100,CC,LITETime,0.0199999999999999,0.45,0.47
38,100,CC,LITETime,0.0799999999999999,0.3,0.22
39,100,CC,LITETime,0.17,0.49,0.66
40,100,CC,LITETime,0.0399999999999999,0.47,0.43
41,100,CC,LITETime,0.1699999999999999,0.66,0.83
42,100,CC,LITETime,0.13,0.57,0.7
43,100,CC,LITETime,0.03,0.34,0.31
44,100,CC,LITETime,0.1899999999999999,0.64,0.83
45,100,CC,LITETime,0.18,0.62,0.8
46,100,CC,LITETime,0.0399999999999999,0.42,0.38
47,100,CC,LITETime,0.0,0.28,0.28
48,100,CC,LITETime,0.12,0.56,0.68
49,100,CC,LITETime,0.1,0.23,0.13
50,100,CC,LITETime,0.0499999999999999,0.24,0.19
51,100,CC,LITETime,0.15,0.15,0.0
52,100,CC,LITETime,0.14,0.64,0.78
53,100,CC,LITETime,0.13,0.53,0.66
54,100,CC,LITETime,0.0899999999999999,0.61,0.7
55,100,CC,LITETime,0.17,0.61,0.78
56,100,CC,LITETime,0.07,0.38,0.45
57,100,CC,LITETime,0.09,0.47,0.56
58,100,CC,LITETime,0.04,0.17,0.13
59,100,CC,LITETime,0.0099999999999999,0.12,0.11
