bag_index,true_burden,pred_burden,abs_error,quantifier,protocol,bag_size
0,0.4599999999999999,0.3399999999999999,0.12,LR-CC,APP,100
1,0.29,0.28,0.01,LR-CC,APP,100
2,0.4,0.26,0.14,LR-CC,APP,100
3,0.4599999999999999,0.3199999999999999,0.14,LR-CC,APP,100
4,0.5800000000000001,0.4,0.18,LR-CC,APP,100
5,0.36,0.3,0.0599999999999999,LR-CC,APP,100
6,0.5700000000000001,0.4,0.17,LR-CC,APP,100
7,0.1099999999999999,0.14,0.03,LR-CC,APP,100
8,0.04,0.15,0.1099999999999999,LR-CC,APP,100
9,0.62,0.38,0.24,LR-CC,APP,100
10,0.2099999999999999,0.16,0.0499999999999999,LR-CC,APP,100
11,0.48,0.39,0.0899999999999999,LR-CC,APP,100
12,0.4399999999999999,0.24,0.1999999999999999,LR-CC,APP,100
13,0.0799999999999999,0.0899999999999999,0.01,LR-CC,APP,100
14,0.93,0.6699999999999999,0.26,LR-CC,APP,100
15,0.92,0.6,0.32,LR-CC,APP,100
16,0.98,0.72,0.26,LR-CC,APP,100
17,0.17,0.1899999999999999,0.0199999999999999,LR-CC,APP,100
18,0.2299999999999999,0.1999999999999999,0.03,LR-CC,APP,100
19,0.13,0.17,0.04,LR-CC,APP,100
20,0.03,0.06,0.03,LR-CC,APP,100
21,0.2099999999999999,0.25,0.04,LR-CC,APP,100
22,0.54,0.43,0.1099999999999999,LR-CC,APP,100
23,0.2199999999999999,0.2099999999999999,0.01,LR-CC,APP,100
24,0.89,0.62,0.27,LR-CC,APP,100
25,0.37,0.24,0.13,LR-CC,APP,100
26,0.86,0.55,0.3099999999999999,LR-CC,APP,100
27,0.06,0.0999999999999999,0.0399999999999999,LR-CC,APP,100
28,0.48,0.2299999999999999,0.25,LR-CC,APP,100
29,0.5900000000000001,0.39,0.2,LR-CC,APP,100
30,0.74,0.47,0.27,LR-CC,APP,100
31,0.2299999999999999,0.2099999999999999,0.02,LR-CC,APP,100
32,0.55,0.36,0.19,LR-CC,APP,100
33,0.4399999999999999,0.3299999999999999,0.1099999999999999,LR-CC,APP,100
34,0.99,0.69,0.3,LR-CC,APP,100
35,0.39,0.3,0.0899999999999999,LR-CC,APP,100
36,0.39,0.3199999999999999,0.07,LR-CC,APP,100
37,0.39,0.26,0.13,LR-CC,APP,100
