bag_size,quantifier,app_rank,capp_rank,rank_shift
100,GB-ACC,21,20,1
100,GB-CC,20,22,-2
100,GB-EMQ,11,7,4
100,GB-HDy,15,8,7
100,GB-PACC,17,13,4
100,GB-PCC,16,16,0
100,LR-ACC,5,6,-1
100,LR-CC,9,11,-2
100,LR-EMQ,1,2,-1
100,LR-HDy,3,1,2
100,LR-PACC,4,4,0
100,LR-PCC,10,12,-2
100,RF-ACC,23,21,2
100,RF-CC,22,23,-1
100,RF-EMQ,6,3,3
100,RF-HDy,24,24,0
100,RF-PACC,18,18,0
100,RF-PCC,14,17,-3
100,SVM-ACC,12,14,-2
100,SVM-CC,13,15,-2
100,SVM-EMQ,2,5,-3
100,SVM-HDy,19,19,0
100,SVM-PACC,7,10,-3
100,SVM-PCC,8,9,-1
200,GB-ACC,21,20,1
200,GB-CC,20,22,-2
200,GB-EMQ,11,7,4
200,GB-HDy,14,8,6
200,GB-PACC,17,14,3
200,GB-PCC,16,16,0
200,LR-ACC,5,5,0
200,LR-CC,9,11,-2
200,LR-EMQ,1,2,-1
200,LR-HDy,3,1,2
200,LR-PACC,4,4,0
200,LR-PCC,10,12,-2
200,RF-ACC,23,21,2
200,RF-CC,22,23,-1
200,RF-EMQ,6,3,3
200,RF-HDy,24,24,0
200,RF-PACC,18,18,0
200,RF-PCC,15,17,-2
200,SVM-ACC,12,13,-1
200,SVM-CC,13,15,-2
200,SVM-EMQ,2,6,-4
200,SVM-HDy,19,19,0
200,SVM-PACC,7,9,-2
200,SVM-PCC,8,10,-2
500,GB-ACC,21,20,1
500,GB-CC,20,22,-2
500,GB-EMQ,11,7,4
500,GB-HDy,14,8,6
500,GB-PACC,17,14,3
500,GB-PCC,16,16,0
500,LR-ACC,5,5,0
500,LR-CC,9,11,-2
500,LR-EMQ,1,2,-1
500,LR-HDy,3,1,2
500,LR-PACC,4,4,0
500,LR-PCC,10,12,-2
500,RF-ACC,23,21,2
500,RF-CC,22,23,-1
500,RF-EMQ,6,3,3
500,RF-HDy,24,24,0
500,RF-PACC,18,18,0
500,RF-PCC,15,17,-2
500,SVM-ACC,12,13,-1
500,SVM-CC,13,15,-2
500,SVM-EMQ,2,6,-4
500,SVM-HDy,19,19,0
500,SVM-PACC,7,9,-2
500,SVM-PCC,8,10,-2
