quantifier,protocol,bag_size,mae_mean,mae_std
GB-ACC,APP,100,0.27706917698892536,0.14823631811794324
GB-ACC,APP,200,0.27628529336895796,0.1461792699773326
GB-ACC,APP,500,0.27527062870727104,0.14284480573544645
GB-ACC,C-APP,100,0.4104668667044057,0.21111774907021932
GB-ACC,C-APP,200,0.41999212998643537,0.2130835764218877
GB-ACC,C-APP,500,0.4267028309490737,0.21271676777959986
GB-CC,APP,100,0.27559999999999996,0.1674923690610821
GB-CC,APP,200,0.27446499999999996,0.16651626479548906
GB-CC,APP,500,0.273304,0.16416699542352112
GB-CC,C-APP,100,0.43066999999999994,0.2089912161513696
GB-CC,C-APP,200,0.439575,0.21281396608108036
GB-CC,C-APP,500,0.44567999999999997,0.2124011955424635
GB-EMQ,APP,100,0.1688908048479126,0.08305386446789013
GB-EMQ,APP,200,0.16774626816908486,0.07598186010072448
GB-EMQ,APP,500,0.16783804107348804,0.0711215761007752
GB-EMQ,C-APP,100,0.23125212256363012,0.14951875795346217
GB-EMQ,C-APP,200,0.23366114347928024,0.14391581824273003
GB-EMQ,C-APP,500,0.23941595411464517,0.14402233346444365
GB-HDy,APP,100,0.22346791113006367,0.10786329078087889
GB-HDy,APP,200,0.21969452874542966,0.10430987110429363
GB-HDy,APP,500,0.21823584465441054,0.10092306253324088
GB-HDy,C-APP,100,0.27612514559596196,0.1566672821483221
GB-HDy,C-APP,200,0.2804326574120579,0.1496230834074366
GB-HDy,C-APP,500,0.28780695121728933,0.148800920274283
GB-PACC,APP,100,0.24205150912877843,0.1262294634337679
GB-PACC,APP,200,0.2411559816323233,0.12443854708046764
GB-PACC,APP,500,0.24074768361781096,0.12114680160148988
GB-PACC,C-APP,100,0.35593184705257286,0.17708639445812882
GB-PACC,C-APP,200,0.3641596911628784,0.1780175711813533
GB-PACC,C-APP,500,0.3698134316756707,0.1774091663196674
GB-PCC,APP,100,0.2257254264710042,0.15274846549146032
GB-PCC,APP,200,0.2245505938777253,0.15218503366301797
GB-PCC,APP,500,0.22394316874144152,0.14991369071826555
