,bag_id,bag_size,method,classifier,mae,pred_pos,true_pos
0,0,100,CC,RF,0.13,0.64,0.77
1,1,100,CC,RF,0.04999999999999999,0.38,0.43
2,2,100,CC,RF,0.17999999999999994,0.67,0.85
3,3,100,CC,RF,0.08999999999999997,0.6,0.69
4,4,100,CC,RF,0.1,0.19,0.09
5,5,100,CC,RF,0.20999999999999996,0.76,0.97
6,6,100,CC,RF,0.15000000000000002,0.61,0.76
7,7,100,CC,RF,0.17000000000000004,0.61,0.78
8,8,100,CC,RF,0.05000000000000002,0.17,0.12
9,9,100,CC,RF,0.07,0.38,0.45
10,10,100,CC,RF,0.02999999999999997,0.34,0.37
11,11,100,CC,RF,0.19000000000000006,0.73,0.92
12,12,100,CC,RF,0.07000000000000006,0.57,0.64
13,13,100,CC,RF,0.17999999999999994,0.64,0.82
14,14,100,CC,RF,0.08000000000000002,0.36,0.44
15,15,100,CC,RF,0.01999999999999999,0.2,0.22
16,16,100,CC,RF,0.07000000000000006,0.48,0.55
17,17,100,CC,RF,0.13,0.19,0.06
18,18,100,CC,RF,0.1499999999999999,0.67,0.82
19,19,100,CC,RF,0.08999999999999997,0.54,0.63
20,20,100,CC,RF,0.14,0.61,0.75
21,21,100,CC,RF,0.10000000000000003,0.45,0.35
22,22,100,CC,RF,0.14,0.83,0.97
23,23,100,CC,RF,0.20000000000000007,0.69,0.89
24,24,100,CC,RF,0.14,0.63,0.77
25,25,100,CC,RF,0.06,0.25,0.19
26,26,100,CC,RF,0.040000000000000036,0.42,0.46
27,27,100,CC,RF,0.1,0.14,0.04
28,28,100,CC,RF,0.09,0.24,0.15
29,29,100,CC,RF,0.10000000000000009,0.58,0.68
30,30,100,CC,RF,0.10999999999999999,0.63,0.74
31,31,100,CC,RF,0.24,0.72,0.96
32,32,100,CC,RF,0.010000000000000009,0.33,0.32
33,33,100,CC,RF,0.03999999999999998,0.33,0.37
34,34,100,CC,RF,0.06,0.4,0.46
