,bag_id,bag_size,method,classifier,mae,pred_pos,true_pos
0,0,100,CC,LITETime,0.14,0.63,0.77
1,1,100,CC,LITETime,0.06,0.37,0.43
2,2,100,CC,LITETime,0.20999999999999996,0.64,0.85
3,3,100,CC,LITETime,0.07999999999999996,0.61,0.69
4,4,100,CC,LITETime,0.17,0.26,0.09
5,5,100,CC,LITETime,0.29999999999999993,0.67,0.97
6,6,100,CC,LITETime,0.12,0.64,0.76
7,7,100,CC,LITETime,0.15000000000000002,0.63,0.78
8,8,100,CC,LITETime,0.14,0.26,0.12
9,9,100,CC,LITETime,0.010000000000000009,0.46,0.45
10,10,100,CC,LITETime,0.020000000000000018,0.39,0.37
11,11,100,CC,LITETime,0.19000000000000006,0.73,0.92
12,12,100,CC,LITETime,0.050000000000000044,0.59,0.64
13,13,100,CC,LITETime,0.18999999999999995,0.63,0.82
14,14,100,CC,LITETime,0.020000000000000018,0.42,0.44
15,15,100,CC,LITETime,0.11000000000000001,0.33,0.22
16,16,100,CC,LITETime,0.08000000000000007,0.47,0.55
17,17,100,CC,LITETime,0.14,0.2,0.06
18,18,100,CC,LITETime,0.12,0.7,0.82
19,19,100,CC,LITETime,0.040000000000000036,0.59,0.63
20,20,100,CC,LITETime,0.15000000000000002,0.6,0.75
21,21,100,CC,LITETime,0.12,0.47,0.35
22,22,100,CC,LITETime,0.26,0.71,0.97
23,23,100,CC,LITETime,0.24,0.65,0.89
24,24,100,CC,LITETime,0.19000000000000006,0.58,0.77
25,25,100,CC,LITETime,0.19,0.38,0.19
26,26,100,CC,LITETime,0.020000000000000018,0.44,0.46
27,27,100,CC,LITETime,0.19999999999999998,0.24,0.04
28,28,100,CC,LITETime,0.13999999999999999,0.29,0.15
29,29,100,CC,LITETime,0.08000000000000007,0.6,0.68
30,30,100,CC,LITETime,0.17000000000000004,0.57,0.74
31,31,100,CC,LITETime,0.30999999999999994,0.65,0.96
32,32,100,CC,LITETime,0.010000000000000009,0.31,0.32
33,33,100,CC,LITETime,0.010000000000000009,0.38,0.37
34,34,100,CC,LITETime,0.019999999999999962,0.48,0.46
35,35,100,CC,LITETime,0.16999999999999998,0.35,0.18
36,36,100,CC,LITETime,0.19,0.31,0.12
37,37,100,CC,LITETime,0.020000000000000018,0.49,0.47
38,38,100,CC,LITETime,0.07999999999999999,0.3,0.22
39,39,100,CC,LITETime,0.07000000000000006,0.59,0.66
40,40,100,CC,LITETime,0.030000000000000027,0.46,0.43
41,41,100,CC,LITETime,0.25,0.58,0.83
42,42,100,CC,LITETime,0.10999999999999999,0.59,0.7
43,43,100,CC,LITETime,0.04999999999999999,0.36,0.31
44,44,100,CC,LITETime,0.18999999999999995,0.64,0.83
45,45,100,CC,LITETime,0.16000000000000003,0.64,0.8
46,46,100,CC,LITETime,0.02999999999999997,0.41,0.38
47,47,100,CC,LITETime,0.13999999999999996,0.42,0.28
48,48,100,CC,LITETime,0.030000000000000027,0.65,0.68
49,49,100,CC,LITETime,0.2,0.33,0.13
50,50,100,CC,LITETime,0.18,0.37,0.19
51,51,100,CC,LITETime,0.28,0.28,0.0
52,52,100,CC,LITETime,0.26,0.52,0.78
