bag_id,bag_size,method,classifier,mae,pred_pos,true_pos
0,100,ACC,SVM,0.13185684255000762,0.6381431574499924,0.77
1,100,ACC,SVM,0.01537258600157887,0.44537258600157886,0.43
2,100,ACC,SVM,0.06981536885117656,0.7801846311488234,0.85
3,100,ACC,SVM,0.08229430119975711,0.6077056988002428,0.69
4,100,ACC,SVM,0.08143545815383324,0.17143545815383324,0.09
5,100,ACC,SVM,0.159377910201427,0.810622089798573,0.97
6,100,ACC,SVM,0.14214848164984062,0.6178515183501594,0.76
7,100,ACC,SVM,0.11141938390025807,0.668580616099742,0.78
8,100,ACC,SVM,0.07172709725366627,0.19172709725366627,0.12
9,100,ACC,SVM,0.004627413998421148,0.44537258600157886,0.45
10,100,ACC,SVM,0.04493512735182931,0.4149351273518293,0.37
11,100,ACC,SVM,0.18039864705084263,0.7396013529491574,0.92
12,100,ACC,SVM,0.06273175984950674,0.5772682401504933,0.64
13,100,ACC,SVM,0.14127356435034155,0.6787264356496584,0.82
14,100,ACC,SVM,0.05610168375116137,0.49610168375116137,0.44
15,100,ACC,SVM,0.04274783410308178,0.2627478341030818,0.22
16,100,ACC,SVM,0.013315038049172667,0.5366849619508274,0.55
17,100,ACC,SVM,0.040414721304417714,0.10041472130441771,0.06
18,100,ACC,SVM,0.1311277448004251,0.6888722551995748,0.82
19,100,ACC,SVM,0.06287757939942318,0.5671224206005768,0.63
20,100,ACC,SVM,0.0915652034501746,0.6584347965498254,0.75
21,100,ACC,SVM,0.006085609497586186,0.3439143905024138,0.35
22,100,ACC,SVM,0.199961188401093,0.770038811598907,0.97
23,100,ACC,SVM,0.1503986470508426,0.7396013529491574,0.89
24,100,ACC,SVM,0.08112774480042517,0.6888722551995748,0.77
25,100,ACC,SVM,0.03885618094599974,0.15114381905400026,0.19
26,100,ACC,SVM,0.005664225101411791,0.4656642251014118,0.46
27,100,ACC,SVM,0.11114381905400025,0.15114381905400026,0.04
28,100,ACC,SVM,0.07216455590341578,0.22216455590341577,0.15
29,100,ACC,SVM,0.13316921849925611,0.5468307815007439,0.68
30,100,ACC,SVM,0.1018568425500076,0.6381431574499924,0.74
31,100,ACC,SVM,0.13923209065151054,0.8207679093484894,0.96
32,100,ACC,SVM,0.013768570952497339,0.33376857095249735,0.32
33,100,ACC,SVM,0.004351849152163356,0.37435184915216335,0.37
34,100,ACC,SVM,0.05521069219808722,0.4047893078019128,0.46
35,100,ACC,SVM,0.011727097253666274,0.19172709725366627,0.18
36,100,ACC,SVM,0.10216455590341578,0.22216455590341577,0.12
37,100,ACC,SVM,0.0463933228509944,0.5163933228509944,0.47
38,100,ACC,SVM,0.07318529275283128,0.2931852927528313,0.22
39,100,ACC,SVM,0.0725859402995902,0.5874140597004098,0.66
40,100,ACC,SVM,0.004919053098254134,0.42508094690174586,0.43
