,bag_id,bag_size,method,classifier,mae,pred_pos,true_pos
0,0,100,CC,LITETime,0.17000000000000004,0.6,0.77
1,1,100,CC,LITETime,0.020000000000000018,0.41,0.43
2,2,100,CC,LITETime,0.18999999999999995,0.66,0.85
3,3,100,CC,LITETime,0.17999999999999994,0.51,0.69
4,4,100,CC,LITETime,0.09,0.18,0.09
5,5,100,CC,LITETime,0.19999999999999996,0.77,0.97
6,6,100,CC,LITETime,0.19999999999999996,0.56,0.76
7,7,100,CC,LITETime,0.21000000000000008,0.57,0.78
8,8,100,CC,LITETime,0.04000000000000001,0.16,0.12
9,9,100,CC,LITETime,0.030000000000000027,0.42,0.45
10,10,100,CC,LITETime,0.03999999999999998,0.41,0.37
11,11,100,CC,LITETime,0.26,0.66,0.92
12,12,100,CC,LITETime,0.06000000000000005,0.58,0.64
13,13,100,CC,LITETime,0.17999999999999994,0.64,0.82
14,14,100,CC,LITETime,0.04999999999999999,0.49,0.44
15,15,100,CC,LITETime,0.03,0.25,0.22
16,16,100,CC,LITETime,0.10000000000000003,0.45,0.55
17,17,100,CC,LITETime,0.07,0.13,0.06
18,18,100,CC,LITETime,0.15999999999999992,0.66,0.82
19,19,100,CC,LITETime,0.13,0.5,0.63
20,20,100,CC,LITETime,0.12,0.63,0.75
21,21,100,CC,LITETime,0.08999999999999997,0.26,0.35
22,22,100,CC,LITETime,0.26,0.71,0.97
23,23,100,CC,LITETime,0.22999999999999998,0.66,0.89
24,24,100,CC,LITETime,0.13,0.64,0.77
25,25,100,CC,LITETime,0.01999999999999999,0.17,0.19
26,26,100,CC,LITETime,0.06,0.4,0.46
27,27,100,CC,LITETime,0.13999999999999999,0.18,0.04
28,28,100,CC,LITETime,0.04000000000000001,0.19,0.15
29,29,100,CC,LITETime,0.10000000000000009,0.58,0.68
30,30,100,CC,LITETime,0.15000000000000002,0.59,0.74 
31,31,100,CC,LITETime,0.1499999999999999,0.81,0.96
32,32,100,CC,LITETime,0.0,0.32,0.32
33,33,100,CC,LITETime,0.03999999999999998,0.33,0.37
34,34,100,CC,LITETime,0.09000000000000002,0.37,0.46
35,35,100,CC,LITETime,0.03,0.21,0.18
36,36,100,CC,LITETime,0.05000000000000002,0.17,0.12
37,37,100,CC,LITETime,0.019999999999999962,0.45,0.47
